LeSean McCoy, BUF, RB
Adrian Peterson, MIN, RB
Jamaal Charles, KC, RB
Matt Forte, CHI, RB
Eddie Lacy, GB, RB
Calvin Johnson, DET, WR
Peyton Manning, DEN, QB
Marshawn Lynch, SEA, RB
Jimmy Graham, SEA, TE
Demaryius Thomas, DEN, WR
Dez Bryant, DAL, WR
Drew Brees, NO, QB
DeMarco Murray, PHI, RB
Aaron Rodgers, GB, QB
Montee Ball, DEN, RB
A.J. Green, CIN, WR
Brandon Marshall, NYJ, WR
Arian Foster, HOU, RB
Julio Jones, ATL, WR
Giovani Bernard, CIN, RB
Doug Martin, TB, RB
Jordy Nelson, GB, WR
Le'Veon Bell, PIT, RB
Alfred Morris, WAS, RB
Antonio Brown, PIT, WR
Alshon Jeffery, CHI, WR
Zac Stacy, STL, RB
Julius Thomas, JAC, TE
Randall Cobb, GB, WR
Andre Ellington, ARI, RB
Rob Gronkowski, NE, TE
Vincent Jackson, TB, WR
Reggie Bush, SF, RB
Keenan Allen, SD, WR
Larry Fitzgerald, ARI, WR
Matthew Stafford, DET, QB
Andre Johnson, IND, WR
Andrew Luck, IND, QB
Ryan Mathews, PHI, RB
C.J. Spiller, NO, RB
Victor Cruz, NYG, WR
Roddy White, ATL, WR
Pierre Garcon, WAS, WR
Toby Gerhart, JAC, RB
Vernon Davis, SF, TE
Cordarrelle Patterson, MIN, WR
Rashad Jennings, NYG, RB
Michael Crabtree, SF, WR
Frank Gore, SF, RB
Percy Harvin, NYJ, WR
Tom Brady, NE, QB
DeSean Jackson, WAS, WR
Nick Foles, STL, QB
Shane Vereen, NYG, RB
Jason Witten, DAL, TE
Seahawks DST, SEA, DEF
Michael Floyd, ARI, WR
Jordan Cameron, MIA, TE
Matt Ryan, ATL, QB
Cam Newton, CAR, QB
Ben Tate, PIT, RB
Chris Johnson, NYJ, RB
Wes Welker, DEN, WR
Torrey Smith, SF, WR
Joique Bell, DET, RB
T.Y. Hilton, IND, WR
Ray Rice, BAL, RB
Bishop Sankey, TEN, RB
Emmanuel Sanders, DEN, WR
Julian Edelman, NE, WR
Robert Griffin, WAS, QB
Greg Olsen, CAR, TE
Jeremy Maclin, KC, WR
Trent Richardson, IND, RB
Marques Colston, NO, WR
Colin Kaepernick, SF, QB
Mike Wallace, MIN, WR
Dennis Pitta, BAL, TE
Tony Romo, DAL, QB
Kyle Rudolph, MIN, TE
Maurice Jones-Drew, OAK, RB
Golden Tate, DET, WR
Jordan Reed, WAS, TE
Stephen Gostkowski, NE, K
Kendall Wright, TEN, WR
Russell Wilson, SEA, QB
Terrance Williams, DAL, WR
Eric Decker, NYJ, WR
Reggie Wayne, IND, WR
Pierre Thomas, NO, RB
Jay Cutler, CHI, QB
Steven Jackson, ATL, RB
Fred Jackson, BUF, RB
Darren Sproles, PHI, RB
Philip Rivers, SD, QB
Brandin Cooks, NO, WR
Knowshon Moreno, MIA, RB
Panthers DST, CAR, DEF
49ers DST, SF, DEF
Zach Ertz, PHI, TE
Rams DST, STL, DEF
Martellus Bennett, CHI, TE
Stevan Ridley, NE, RB
Broncos DST, DEN, DEF
Mike Evans, TB, WR
Chiefs DST, KC, DEF
Bengals DST, CIN, DEF
Sammy Watkins, BUF, WR
Carlos Hyde, SF, RB
Justin Tucker, BAL, K
Patriots DST, NE, DEF
Kelvin Benjamin, CAR, WR
Cardinals DST, ARI, DEF
Andy Dalton, CIN, QB
Lamar Miller, MIA, RB
Steven Hauschka, SEA, K
Bernard Pierce, BAL, RB
Rueben Randle, NYG, WR
Mark Ingram, NO, RB
Justin Hunter, TEN, WR
Jeremy Hill, CIN, RB
Anquan Boldin, SF, WR
Phil Dawson, SF, K
Danny Woodhead, SD, RB
Riley Cooper, PHI, WR
Mason Crosby, GB, K
Matt Prater, DET, K
Ben Roethlisberger, PIT, QB
Dwayne Bowe, KC, WR
DeAngelo Williams, PIT, RB
DeAndre Hopkins, HOU, WR
Cecil Shorts III, HOU, WR
Adam Vinatieri, IND, K
Darren McFadden, DAL, RB
Heath Miller, PIT, TE
Antonio Gates, SD, TE
Dan Bailey, DAL, K
Terrance West, CLE, RB
Texans DST, HOU, DEF
Alex Smith, KC, QB
Ladarius Green, SD, TE
Khiry Robinson, NO, RB
Hakeem Nicks, IND, WR
Andre Williams, NYG, RB
Steve Smith Sr., BAL, WR
Shonn Greene, TEN, RB
Charles Clay, MIA, TE
Devonta Freeman, ATL, RB
Joe Flacco, BAL, QB
Tavon Austin, STL, WR
Danny Amendola, NE, WR
Chris Ivory, NYJ, RB
Sebastian Janikowski, OAK, K
Ahmad Bradshaw, IND, RB
Nick Novak, SD, K
Saints DST, NO, DEF
Carson Palmer, ARI, QB
Bears DST, CHI, DEF
Eric Ebron, DET, TE
LeGarrette Blount, NE, RB
Eli Manning, NYG, QB
Packers DST, GB, DEF
Ryan Tannehill, MIA, QB
Johnny Manziel, CLE, QB
Steelers DST, PIT, DEF
Josh Gordon, CLE, WR
Greg Jennings, MIN, WR
Doug Baldwin, SEA, WR
Lions DST, DET, DEF
Brian Hartline, CLE, WR
Browns DST, CLE, DEF
Christine Michael, SEA, RB
Sam Bradford, PHI, QB
Marvin Jones, CIN, WR
Blair Walsh, MIN, K
Matt Bryant, ATL, K
James Jones, OAK, WR
Markus Wheaton, PIT, WR
Travis Kelce, KC, TE
Ravens DST, BAL, DEF
Zach Miller, SEA, TE
Jarrett Boykin, GB, WR
Buccaneers DST, TB, DEF
Michael Vick, NYJ, QB
Kenny Stills, MIA, WR
Brent Celek, PHI, TE
Tony Gonzalez, ATL, TE
Bills DST, BUF, DEF
Coby Fleener, IND, TE
Delanie Walker, TEN, TE
Josh McCown, CLE, QB
Cowboys DST, DAL, DEF
Teddy Bridgewater, MIN, QB
Robbie Gould, CHI, K
Shayne Graham, NO, K
Aaron Dobson, NE, WR
Derek Carr, OAK, QB
Knile Davis, KC, RB
Harry Douglas, TEN, WR
Donald Brown, SD, RB
Miles Austin, CLE, WR
Jordan Matthews, PHI, WR
Malcom Floyd, SD, WR
Stevie Johnson, SF, WR
Giants DST, NYG, DEF
Brandon LaFell, NE, WR
Geno Smith, NYJ, QB
Tim Wright, NE, TE
Dwayne Allen, IND, TE
Mike Nugent, CIN, K
Eagles DST, PHI, DEF
Dexter McCluster, TEN, WR
Owen Daniels, DEN, TE
