Philip Rivers, @KC, 27
Tom Brady, Den, 23
Colin Kaepernick, @Wsh, 23
Ryan Fitzpatrick, @Oak, 22
Alex Smith, SD, 21
Carson Palmer, Ind, 20
Drew Brees, @Atl, 19
Cam Newton, @Mia, 19
Josh McCown, @Det, 18
Ryan Tannehill, Car, 17
Mike Glennon, @Det, 17
Ben Roethlisberger, @Cle, 16
Tony Romo, @NYG, 15
Matthew Stafford, TB, 15
Eli Manning, Dal, 14
Matt Flynn, Min, 14
Christian Ponder, @GB, 13
Andrew Luck, @Ari, 13
Peyton Manning, @NE, 12
Kellen Clemens, @KC, 12
Matt Ryan, NO, 12
Joe Flacco, NYJ, 12
Matt McGloin, Ten, 12
Scott Tolzien, Min, 11
Brandon Weeden, @NYG, 10
Chad Henne, @Hou, 9
Robert Griffin III, SF, 4
Case Keenum, Jac, 4
Jason Campbell, Pit, 2
Geno Smith, @Bal, 2
