Adrian Peterson, Pit, 26
Darren Sproles, @Den, 23
Reggie Bush, Chi, 22
Arian Foster, Sea, 22
Danny Woodhead, Dal, 20
Frank Gore, @StL, 19
Le'Veon Bell, @Min, 19
Jamaal Charles, NYG, 18
Marshawn Lynch, @Hou, 17
Matt Forte, @Det, 17
Fred Jackson, Bal, 14
Knowshon Moreno, @NO, 14
Roy Helu, @Oak, 14
LeGarrette Blount, @Min, 12
Trent Richardson, @Jac, 12
Lamar Miller, @NO, 12
Rashad Jennings, @KC, 11
Chris Ogbonnaya, Cin, 10
Ryan Mathews, Dal, 10
Bilal Powell, @Ten, 10
Kendall Hunter, @StL, 10
Chris Polk, @Den, 10
LeSean McCoy, @Den, 9
DeMarco Murray, @SD, 9
Jacquizz Rodgers, NE, 8
Donald Brown, Dal, 7
C.J. Spiller, Bal, 7
Stevan Ridley, @Atl, 7
Alfred Morris, @Oak, 7
Anthony Dixon, Bal, 6
Jeremy Stewart, Wsh, 6
Giovani Bernard, @Cle, 6
Marcus Thigpen, @NO, 5
Doug Martin, Ari, 5
David Wilson, @KC, 5
Ronnie Hillman, Phi, 5
Bryce Brown, @Den, 5
Willis McGahee, Cin, 4
Jackie Battle, NYJ, 4
Andre Ellington, @TB, 4
Pierre Thomas, Mia, 3
Chris Johnson, @Ten, 3
Benny Cunningham, SF, 3
Khiry Robinson, Mia, 3
Maurice Jones-Drew, Wsh, 2
Jason Snelling, NE, 2
Darren McFadden, Wsh, 2
Ben Tate, Cin, 2
Erik Lorig, Mia, 2
Joique Bell, Chi, 2
Bruce Miller, @StL, 2
Da'Rel Scott, @KC, 2
Bobby Rainey, Ari, 2
Montee Ball, Phi, 2
Tommy Bohanon, @Ten, 2
Brian Leonard, Ari, 1
Le'Ron McClain, Dal, 1
Rashard Mendenhall, @TB, 1
Ray Rice, @Buf, 1
Tashard Choice, @Jac, 1
Justin Forsett, @Buf, 1
BenJarvus Green-Ellis, @Cle, 1
James Develin, @Atl, 1
Taiwan Jones, Wsh, 1
Daryl Richardson, SF, 1
Brandon Bolden, @Atl, 1
Jamize Olawale, Wsh, 1
Jeff Demps, Ari, 1
