Calvin Johnson, NYG, 28
Allen Hurns, @Phi, 23
A.J. Green, @Bal, 19
Cordarrelle Patterson, @StL, 18
Steve Smith Sr., Cin, 17
Antonio Brown, Cle, 17
Jeremy Maclin, Jac, 15
Kelvin Benjamin, @TB, 15
DeAndre Hopkins, Wsh, 14
Brandin Cooks, @Atl, 14
Roddy White, NO, 13
Mike Wallace, NE, 12
Malcom Floyd, @Ari, 11
Greg Jennings, @StL, 11
Brandon Marshall, Buf, 11
Julian Edelman, @Mia, 11
Randall Cobb, @Sea, 11
Michael Floyd, SD, 11
Terrance Williams, SF, 11
Kendall Wright, @KC, 10
Rod Streater, @NYJ, 10
Reggie Wayne, @Den, 9
Andre Johnson, Wsh, 9
Anquan Boldin, @Dal, 9
Devin Hester, NO, 9
Marques Colston, @Atl, 9
James Jones, @NYJ, 9
Percy Harvin, Oak, 9
Hakeem Nicks, @Den, 9
Golden Tate, NYG, 9
Julio Jones, NO, 9
Ricardo Lockette, GB, 9
Brian Quick, Min, 9
Travis Benjamin, @Pit, 9
Markus Wheaton, Cle, 9
Donnie Avery, Ten, 8
Jordy Nelson, @Sea, 8
Emmanuel Sanders, Ind, 8
Andrew Hawkins, @Pit, 8
Chris Owusu, Oak, 8
John Brown, SD, 8
Pierre Garcon, @Hou, 7
Eric Decker, Oak, 7
Alshon Jeffery, Buf, 7
Robert Woods, @Chi, 7
DeSean Jackson, @Hou, 6
Harry Douglas, NO, 6
Justin Hunter, @KC, 6
Marqise Lee, @Phi, 6
Nate Washington, @KC, 5
Dez Bryant, SF, 5
Torrey Smith, Cin, 5
Dwayne Harris, SF, 5
Mohamed Sanu, @Bal, 5
Demaryius Thomas, Ind, 4
T.Y. Hilton, @Den, 4
Cole Beasley, SF, 4
Jerricho Cotchery, @TB, 3
Vincent Jackson, Car, 3
Stevie Johnson, @Dal, 3
Dexter McCluster, @KC, 3
Mike Williams, @Chi, 3
Jeremy Kerley, Oak, 3
Kamar Aiken, Cin, 3
Chris Givens, Min, 3
Mike Brown, @Phi, 3
Tavon Austin, Min, 3
Keenan Allen, @Ari, 3
Justin Brown, Cle, 3
Kenbrell Thompkins, @NYJ, 3
Sammy Watkins, @Chi, 3
Mike Evans, Car, 3
Jordan Matthews, Jac, 3
Larry Fitzgerald, SD, 2
Santonio Holmes, Buf, 2
Miles Austin, @Pit, 2
Ted Ginn, SD, 2
Eddie Royal, @Ari, 2
Michael Crabtree, @Dal, 2
Brian Hartline, NE, 2
Riley Cooper, Jac, 2
Andre Roberts, @Hou, 2
Victor Cruz, @Det, 2
Jerrel Jernigan, @Det, 2
Jarius Wright, @StL, 2
Frankie Hammond, Ten, 2
Jacoby Jones, Cin, 1
Andre Caldwell, Ind, 1
Danny Amendola, @Mia, 1
Brandon Tate, @Bal, 1
David Nelson, Oak, 1
Greg Salas, Oak, 1
Doug Baldwin, GB, 1
Jeff Maehl, Jac, 1
Devin Street, SF, 1
Taylor Gabriel, @Pit, 1
