Eagles D/ST, Car, 31
Cardinals D/ST, StL, 27
Browns D/ST, @Cin, 17
Packers D/ST, Chi, 17
Ravens D/ST, Ten, 14
Jets D/ST, Pit, 12
Bills D/ST, KC, 11
Cowboys D/ST, @Jac, 11
Falcons D/ST, @TB, 10
Lions D/ST, Mia, 10
Broncos D/ST, @Oak, 9
Chiefs D/ST, @Buf, 7
Seahawks D/ST, NYG, 7
Dolphins D/ST, @Det, 6
Saints D/ST, SF, 6
Steelers D/ST, @NYJ, 6
49ers D/ST, @NO, 5
Rams D/ST, @Ari, 4
Jaguars D/ST, Dal, 3
Bengals D/ST, Cle, 1
Titans D/ST, @Bal, 1
Buccaneers D/ST, Atl, 1
Giants D/ST, @Sea, -1
Bears D/ST, @GB, -2
Panthers D/ST, @Phi, -3
Raiders D/ST, Den, -4
