Connor Barth, @SD, 18
Josh Scobee, @Bal, 17
Dan Carpenter, GB, 16
Chandler Catanzaro, @StL, 16
Mike Nugent, @Cle, 14
Graham Gano, TB, 14
Ryan Succop, NYJ, 12
Stephen Gostkowski, Mia, 11
Cody Parkey, Dal, 11
Matt Prater, Min, 10
Sebastian Janikowski, @KC, 9
Shaun Suisham, @Atl, 9
Dan Bailey, @Phi, 9
Matt Bryant, Pit, 8
Caleb Sturgis, @NE, 8
Mason Crosby, @Buf, 7
Kai Forbath, @NYG, 7
Shayne Graham, @Chi, 6
Josh Brown, Wsh, 6
Greg Zuerlein, Ari, 6
Randy Bullock, @Ind, 6
Justin Tucker, Jac, 6
Cairo Santos, Oak, 6
Patrick Murray, @Car, 6
Adam Vinatieri, Hou, 5
Nick Folk, @Ten, 5
Steven Hauschka, SF, 5
Nick Novak, Den, 2
Phil Dawson, @Sea, 1
Jay Feely, NO, 1
Blair Walsh, @Det, -1
