Gavin Escobar, NYG, 18
Antonio Gates, KC, 12
Cooper Helfet, @StL, 12
Owen Daniels, Atl, 11
Jeff Cumberland, @NE, 11
Charles Clay, @Chi, 11
Dwayne Allen, Cin, 11
Greg Olsen, @GB, 10
Daniel Fells, @Dal, 8
Lance Kendricks, Sea, 7
John Phillips, KC, 6
Rob Gronkowski, NYJ, 6
Coby Fleener, Cin, 6
Martellus Bennett, Mia, 5
Niles Paul, Ten, 5
Larry Donnell, @Dal, 5
Jordan Reed, Ten, 5
Jermaine Gresham, @Ind, 4
Scott Chandler, Min, 3
Clay Harbor, Cle, 3
Travis Kelce, @SD, 3
Dion Sims, @Chi, 3
Jason Witten, NYG, 2
Vernon Davis, @Den, 2
John Carlson, @Oak, 2
Jared Cook, Sea, 2
Brandon Pettigrew, NO, 2
Garrett Graham, @Pit, 2
Julius Thomas, SF, 2
Levine Toilolo, @Bal, 2
Brandon Williams, @GB, 2
Jack Doyle, Cin, 2
Jace Amaro, @NE, 2
Heath Miller, Hou, 1
Delanie Walker, @Wsh, 1
Mychal Rivera, Ari, 1
Chris Gragg, Min, 1
Crockett Gillmore, Atl, 1
Dante Rosario, Mia, -1
