season 2014 (Projected) - 40.0 4.8 17.6 - 465.6 - - - - 38.4 -
season 2015 (Projected) - 34 10 17 3 450 248.8 137.1 1 1 114.0 -
season 2014 16 39 10 14 1 442 264.4 112.8 0 1 99.0 6.2
    week 1 BUF L 20-23 1 0 1 0 23 167.0 193.0 0 0 3.0
    week 2 @SF W 28-20 4 1 3 0 20 232.0 129.0 0 0 12.0
    week 3 @NYJ W 27-19 3 1 2 1 19 300.0 114.0 0 0 15.0
    week 4 GB L 17-38 1 0 0 0 38 302.0 56.0 0 0 1.0
    week 5 @CAR L 24-31 2 2 1 0 31 231.0 90.0 0 0 8.0
    week 6 @ATL W 27-13 4 0 1 0 13 245.0 42.0 0 0 6.0
    week 7 MIA L 14-27 4 0 0 0 27 256.0 137.0 0 0 4.0
    week 8 @NE L 23-51 1 0 0 0 51 365.0 122.0 0 0 1.0
    week 10 @GB L 14-55 0 1 0 0 55 319.0 132.0 0 1 8.0
    week 11 MIN W 21-13 2 0 1 0 13 147.0 96.0 0 0 4.0
    week 12 TB W 21-13 5 2 2 0 13 301.0 66.0 0 0 13.0
    week 13 @DET L 17-34 2 1 0 0 34 383.0 91.0 0 0 4.0
    week 14 DAL L 28-41 1 0 0 0 41 203.0 194.0 0 0 1.0
    week 15 NO L 15-31 2 1 0 0 31 360.0 83.0 0 0 4.0
    week 16 DET L 14-20 4 1 2 0 20 229.0 138.0 0 0 10.0
    week 17 @MIN L 9-13 3 0 1 0 13 190.0 121.0 0 0 5.0
season 2013 16 32 9 19 6 478 233.0 161.6 1 1 132.0 8.3
    week 1 CIN W 24-21 1 1 2 0 21 277.0 63.0 0 0 7.0
    week 2 MIN W 31-30 1 2 1 1 30 227.0 123.0 0 0 13.0
    week 3 @PIT W 40-23 3 3 2 2 23 379.0 80.0 0 0 25.0
    week 4 @DET L 32-40 1 2 1 0 40 228.0 159.0 0 0 7.0
    week 5 NO L 18-26 2 0 0 0 26 281.0 66.0 0 0 2.0
    week 6 NYG W 27-21 1 0 3 1 21 232.0 123.0 0 0 13.0
    week 7 @WAS L 41-45 1 0 1 0 45 290.0 209.0 0 1 9.0
    week 9 @GB W 27-20 5 0 1 0 20 113.0 199.0 0 0 7.0
    week 10 DET L 19-21 0 0 1 0 21 219.0 145.0 0 0 2.0
    week 11 BAL W 23-20 3 0 2 1 20 143.0 174.0 0 0 13.0
    week 12 @STL L 21-42 2 0 0 0 42 148.0 258.0 0 0 2.0
    week 13 @MIN L 20-23 5 0 1 0 23 250.0 246.0 0 0 7.0
    week 14 DAL W 45-28 2 0 0 0 28 130.0 198.0 0 0 2.0
    week 15 @CLE W 38-31 0 0 2 1 31 273.0 93.0 0 0 10.0
    week 16 @PHI L 11-54 2 1 0 0 54 225.0 289.0 1 0 6.0
    week 17 GB L 28-33 3 0 2 0 33 313.0 160.0 0 0 7.0
season 2012 16 41 20 24 9 277 213.4 101.9 2 0 187.0 11.7
    week 1 IND W 41-21 3 2 3 0 21 293.0 63.0 0 0 13.0
    week 2 @GB L 10-23 5 1 1 0 23 215.0 106.0 0 0 9.0
    week 3 STL W 23-6 6 0 2 1 6 101.0 59.0 0 0 16.0
    week 4 @DAL W 34-18 1 0 5 2 18 389.0 41.0 0 0 23.0
    week 5 @JAC W 41-3 3 1 2 2 3 129.0 60.0 0 0 21.0
    week 7 DET W 13-7 3 3 1 0 7 241.0 99.0 0 0 11.0
    week 8 CAR W 23-22 2 0 2 1 22 297.0 119.0 0 0 12.0
    week 9 @TEN W 51-20 2 4 1 1 20 174.0 159.0 1 0 20.0
    week 10 HOU L 6-13 1 0 2 0 13 88.0 127.0 0 0 5.0
    week 11 @SF L 7-32 2 0 0 0 32 232.0 123.0 1 0 4.0
    week 12 MIN W 28-10 2 2 1 0 10 144.0 114.0 0 0 8.0
    week 13 SEA L 17-23 2 1 0 0 23 283.0 176.0 0 0 4.0
    week 14 @MIN L 14-21 1 0 1 0 21 77.0 171.0 0 0 3.0
    week 15 GB L 13-21 3 2 0 0 21 278.0 113.0 0 0 7.0
    week 16 @ARI W 28-13 4 1 2 2 13 219.0 29.0 0 0 22.0
    week 17 @DET W 26-24 1 3 1 0 24 255.0 72.0 0 0 9.0
season 2011 16 33 11 20 6 341 254.1 96.4 1 3 151.0 9.4
season 2010 16 33 14 21 1 286 224.3 90.1 0 3 127.0 7.9
season 2009 16 34 15 13 1 375 212.1 125.6 1 2 110.0 6.9
season 2008 16 28 10 22 3 350 241.2 93.5 1 1 118.0 7.4
season 2007 16 42 17 16 1 348 231.4 123.3 1 6 152.0 9.5
season 2006 16 38 21 23 3 255 195.6 99.7 1 5 176.0 11.0
season 2005 16 40 10 24 4 202 179.5 102.3 0 1 138.0 8.6
season 2004 16 33 12 17 6 331 208.8 128.1 3 1 139.0 8.7
season 2003 16 19 4 15 1 346 192.3 121.9 0 3 81.0 5.1
season 2002 16 35 20 9 1 379 220.2 129.8 0 0 99.0 6.2
season 2001 16 48 17 20 5 203 228.8 82.4 1 0 154.0 9.6
season 2000 16 36 9 11 4 355 212.8 114.3 0 0 100.0 6.3
