season 2015 (Projected) - 41 12 16 3 378 277.3 107.5 0 3 133.0 -
season 2014 16 49 16 12 4 400 264.9 110.6 0 4 153.0 9.6
    week 1 JAC W 34-17 3 1 0 1 17 242.0 64.0 0 0 11.0
    week 2 @IND W 30-27 0 1 1 0 27 172.0 169.0 0 0 4.0
    week 3 WAS W 37-34 0 0 1 0 34 427.0 84.0 0 1 8.0
    week 4 @SF L 21-26 4 0 1 1 26 189.0 218.0 0 1 18.0
    week 5 STL W 34-28 4 3 0 1 28 341.0 125.0 0 0 16.0
    week 6 NYG W 27-0 8 1 0 0 0 168.0 85.0 0 0 10.0
    week 8 @ARI L 20-24 0 1 0 0 24 329.0 71.0 0 0 2.0
    week 9 @HOU W 31-21 4 0 1 0 21 182.0 118.0 0 0 6.0
    week 10 CAR W 45-21 9 2 3 1 21 215.0 102.0 0 1 31.0
    week 11 @GB L 20-53 1 0 0 0 53 365.0 110.0 0 0 1.0
    week 12 TEN W 43-24 5 2 1 0 24 299.0 52.0 0 1 17.0
    week 13 @DAL W 33-10 4 1 2 0 10 174.0 93.0 0 0 10.0
    week 14 SEA L 14-24 2 2 0 0 24 252.0 188.0 0 0 6.0
    week 15 DAL L 27-38 3 1 0 0 38 249.0 115.0 0 0 5.0
    week 16 @WAS L 24-27 2 1 1 0 27 205.0 100.0 0 0 6.0
    week 17 @NYG W 34-26 0 0 1 0 26 429.0 76.0 0 0 2.0
season 2013 16 37 12 19 2 382 289.6 104.5 0 0 111.0 6.9
    week 1 @WAS W 33-27 3 1 2 0 27 308.0 74.0 0 0 9.0
    week 2 SD L 30-33 1 2 0 0 33 413.0 126.0 0 0 5.0
    week 3 KC L 16-26 5 0 0 0 26 248.0 147.0 0 0 5.0
    week 4 @DEN L 20-52 1 0 0 0 52 331.0 141.0 0 0 1.0
    week 5 @NYG W 36-21 1 1 3 0 21 330.0 53.0 0 0 9.0
    week 6 @TB W 31-20 2 0 1 0 20 257.0 94.0 0 0 4.0
    week 7 DAL L 3-17 2 0 2 0 17 294.0 74.0 0 0 6.0
    week 8 NYG L 7-15 1 1 0 1 15 237.0 88.0 0 0 9.0
    week 9 @OAK W 49-20 3 0 2 0 20 350.0 210.0 0 0 7.0
    week 10 @GB W 27-13 1 0 2 0 13 297.0 99.0 0 0 5.0
    week 11 WAS W 24-16 4 1 1 0 16 236.0 191.0 0 0 8.0
    week 13 ARI W 24-21 5 1 2 0 21 260.0 90.0 0 0 11.0
    week 14 DET W 34-20 0 3 0 0 20 148.0 80.0 0 0 6.0
    week 15 @MIN L 30-48 3 0 1 0 48 370.0 85.0 0 0 5.0
    week 16 CHI W 54-11 5 1 1 1 11 196.0 61.0 0 0 15.0
    week 17 @DAL W 24-22 0 1 2 0 22 358.0 59.0 0 0 6.0
    week WC NO L 24-26 2 0 2 0 26 249.0 185.0 0 0 6.0
season 2012 16 30 5 8 0 444 216.9 126.3 0 1 62.0 3.9
    week 1 @CLE W 17-16 2 0 4 0 16 111.0 99.0 0 0 10.0
    week 2 BAL W 24-23 2 1 1 0 23 214.0 111.0 0 0 6.0
    week 3 @ARI L 6-27 3 0 0 0 27 193.0 99.0 0 0 3.0
    week 4 NYG W 19-17 0 0 1 0 17 309.0 57.0 0 0 2.0
    week 5 @PIT L 14-16 0 0 0 0 16 220.0 123.0 0 0 0.0
    week 6 DET L 23-26 0 0 1 0 26 311.0 138.0 0 0 2.0
    week 8 ATL L 17-30 2 0 0 0 30 246.0 146.0 0 0 2.0
    week 9 @NO L 13-28 2 2 0 0 28 231.0 140.0 0 0 6.0
    week 10 DAL L 23-38 3 0 0 0 38 193.0 101.0 0 0 3.0
    week 11 @WAS L 6-31 2 0 0 0 31 192.0 169.0 0 0 2.0
    week 12 CAR L 22-30 2 0 0 0 30 289.0 109.0 0 0 2.0
    week 13 @DAL L 33-38 2 0 0 0 38 294.0 123.0 0 1 8.0
    week 14 @TB W 23-21 2 0 0 0 21 178.0 136.0 0 0 2.0
    week 15 CIN L 13-34 6 2 0 0 34 92.0 157.0 0 0 10.0
    week 16 WAS L 20-27 1 0 1 0 27 185.0 128.0 0 0 3.0
    week 17 @NYG L 7-42 1 0 0 0 42 212.0 185.0 0 0 1.0
season 2011 16 50 9 15 4 328 212.3 112.6 1 0 124.0 7.8
season 2010 16 39 11 23 2 377 216.8 110.4 0 1 125.0 7.8
season 2009 16 44 13 25 4 337 216.4 104.7 2 2 160.0 10.0
season 2008 16 48 14 15 5 289 182.1 92.3 1 2 150.0 9.4
season 2007 16 36 8 11 0 300 215.9 95.5 0 0 74.0 4.6
season 2006 16 40 10 19 5 328 191.7 136.3 0 0 128.0 8.0
season 2005 16 29 10 17 2 388 207.7 117.7 0 0 95.0 5.9
season 2004 16 47 11 17 2 260 200.8 118.9 0 0 115.0 7.2
season 2003 16 38 13 13 1 287 202.1 129.4 1 2 110.0 6.9
season 2002 16 58 23 15 3 241 193.3 103.4 0 1 158.0 9.9
season 2001 16 44 19 14 4 208 179.0 114.1 0 1 140.0 8.8
season 2000 16 50 12 19 2 245 187.2 113.8 0 2 136.0 8.5
