season 2014 CLE 13 22 29 75.9% 28 28 87.0 6.7
    week 1 @PIT L 27-30 2 2 100.0% 3 3 9.0
    week 2 NO W 26-24 2 2 100.0% 2 2 8.0
    week 3 BAL L 21-23 0 2 0.0% 3 3 1.0
    week 5 @TEN W 29-28 2 2 100.0% 3 3 9.0
    week 6 PIT W 31-10 1 1 100.0% 4 4 7.0
    week 7 @JAC L 6-24 2 2 100.0% 0 0 6.0
    week 8 OAK W 23-13 3 3 100.0% 2 2 11.0
    week 9 TB W 22-17 3 3 100.0% 1 1 10.0
    week 10 @CIN W 24-3 1 2 50.0% 3 3 5.0
    week 11 HOU L 7-23 0 1 0.0% 1 1 0.0
    week 12 @ATL W 26-24 4 5 80.0% 2 2 13.0
    week 13 @BUF L 10-26 1 2 50.0% 1 1 3.0
    week 14 IND L 24-25 1 2 50.0% 3 3 5.0
season 2013 CLE 16 21 26 80.8% 32 32 90.0 5.6
    week 1 MIA L 10-23 1 1 100.0% 1 1 4.0
    week 2 @BAL L 6-14 2 2 100.0% 0 0 6.0
    week 3 @MIN W 31-27 1 1 100.0% 3 3 6.0
    week 4 CIN W 17-6 1 3 33.3% 2 2 3.0
    week 5 BUF W 37-24 3 3 100.0% 4 4 13.0
    week 6 DET L 17-31 1 1 100.0% 2 2 5.0
    week 7 @GB L 13-31 2 2 100.0% 1 1 7.0
    week 8 @KC L 17-23 1 1 100.0% 2 2 5.0
    week 9 BAL W 24-18 1 1 100.0% 3 3 6.0
    week 11 @CIN L 20-41 2 2 100.0% 2 2 8.0
    week 12 PIT L 11-27 1 2 50.0% 0 0 2.0
    week 13 JAC L 28-32 0 1 0.0% 4 4 3.0
    week 14 @NE L 26-27 2 3 66.7% 2 2 7.0
    week 15 CHI L 31-38 1 1 100.0% 4 4 7.0
    week 16 @NYJ L 13-24 2 2 100.0% 1 1 7.0
    week 17 @PIT L 7-20 0 0 0.0% 1 1 1.0
season 2012 WAS 5 7 12 58.3% 17 17 33.0 6.6
    week 1 @NO W 40-32 4 4 100.0% 4 4 16.0
    week 2 @STL L 28-31 0 1 0.0% 4 4 3.0
    week 3 CIN L 31-38 1 1 100.0% 4 4 7.0
    week 4 @TB W 24-22 1 4 25.0% 3 3 3.0
    week 5 ATL L 17-24 1 2 50.0% 2 2 4.0
season 2011 BAL 15 28 37 75.7% 38 38 113.0 7.5
season 2010 BAL 16 26 29 89.7% 39 39 114.0 7.1
season 2009 CLE | BAL 12 18 23 78.3% 23 23 72.0 6.0
season 2006 NO 4 0 1 0.0% 0 0 -1.0 -0.3
season 2005 DAL 6 5 8 62.5% 14 14 26.0 4.3
season 2004 DAL 16 20 26 76.9% 31 31 85.0 5.3
season 2003 DAL 15 23 29 79.3% 30 31 92.0 6.1
season 2002 DAL 16 12 19 63.2% 25 26 53.0 3.3
