season 2015 (Projected) DEN - 25 29 86.2% 53 53 124.0 -
season 2014 DEN 5 15 16 93.8% 15 15 59.0 11.8
    week 13 @KC W 29-16 5 5 100.0% 2 2 17.0
    week 14 BUF W 24-17 1 1 100.0% 3 3 6.0
    week 15 @SD W 22-10 5 5 100.0% 1 1 16.0
    week 16 @CIN L 28-37 0 1 0.0% 4 4 3.0
    week 17 OAK W 47-14 4 4 100.0% 5 5 17.0
    week DP IND L 13-24 2 2 100.0% 1 1 7.0
season 2012 TB 15 28 33 84.8% 39 39 118.0 7.9
    week 1 CAR W 16-10 3 3 100.0% 1 1 10.0
    week 2 @NYG L 34-41 2 2 100.0% 4 4 10.0
    week 3 @DAL L 10-16 1 1 100.0% 1 1 4.0
    week 4 WAS L 22-24 3 3 100.0% 1 2 9.0
    week 6 KC W 38-10 1 2 50.0% 5 5 7.0
    week 7 NO L 28-35 0 1 0.0% 4 4 3.0
    week 8 @MIN W 36-17 3 3 100.0% 3 3 12.0
    week 9 @OAK W 42-32 0 2 0.0% 6 6 4.0
    week 10 SD W 34-24 2 2 100.0% 4 4 10.0
    week 11 @CAR W 27-21 2 2 100.0% 1 1 7.0
    week 12 ATL L 23-24 3 4 75.0% 2 2 10.0
    week 13 @DEN L 23-31 3 3 100.0% 2 2 11.0
    week 14 PHI L 21-23 0 0 0.0% 3 3 3.0
    week 16 STL L 13-28 2 2 100.0% 1 1 7.0
    week 17 @ATL W 22-17 3 3 100.0% 1 1 10.0
season 2011 TB 16 26 28 92.9% 23 23 99.0 6.2
season 2010 TB 16 23 28 82.1% 36 36 100.0 6.3
season 2009 TB 9 14 19 73.7% 12 12 49.0 5.4
season 2008 KC 10 10 12 83.3% 24 24 52.0 5.2
