season 2014 CLE 2 3 3 100.0% 2 2 11.0 5.5
    week 16 @CAR L 13-17 2 2 100.0% 1 1 7.0
    week 17 @BAL L 10-20 1 1 100.0% 1 1 4.0
season 2013 NO 14 22 30 73.3% 41 41 99.0 7.1
    week 1 ATL W 23-17 3 3 100.0% 2 2 11.0
    week 2 @TB W 16-14 3 4 75.0% 1 1 9.0
    week 3 ARI W 31-7 1 1 100.0% 4 4 7.0
    week 4 MIA W 38-17 1 2 50.0% 5 5 7.0
    week 5 @CHI W 26-18 4 4 100.0% 2 2 14.0
    week 6 @NE L 27-30 2 2 100.0% 3 3 9.0
    week 8 BUF W 35-17 0 2 0.0% 5 5 3.0
    week 9 @NYJ L 20-26 2 3 66.7% 2 2 7.0
    week 10 DAL W 49-17 0 1 0.0% 7 7 6.0
    week 11 SF W 23-20 3 3 100.0% 2 2 11.0
    week 12 @ATL W 17-13 1 1 100.0% 2 2 5.0
    week 13 @SEA L 7-34 0 0 0.0% 1 1 1.0
    week 14 CAR W 31-13 1 1 100.0% 4 4 7.0
    week 15 @STL L 16-27 1 3 33.3% 1 1 2.0
season 2012 NO 16 18 22 81.8% 57 57 107.0 6.7
    week 1 WAS L 32-40 1 1 100.0% 3 3 6.0
    week 2 @CAR L 27-35 2 2 100.0% 3 3 9.0
    week 3 KC L 24-27 1 2 50.0% 3 3 5.0
    week 4 @GB L 27-28 2 3 66.7% 3 3 8.0
    week 5 SD W 31-24 1 1 100.0% 4 4 7.0
    week 7 @TB W 35-28 0 0 0.0% 5 5 5.0
    week 8 @DEN L 14-34 0 0 0.0% 2 2 2.0
    week 9 PHI W 28-13 0 1 0.0% 4 4 3.0
    week 10 ATL W 31-27 1 1 100.0% 4 4 7.0
    week 11 @OAK W 38-17 1 1 100.0% 5 5 8.0
    week 12 SF L 21-31 0 0 0.0% 3 3 3.0
    week 13 @ATL L 13-23 2 2 100.0% 1 1 7.0
    week 14 @NYG L 27-52 2 2 100.0% 3 3 9.0
    week 15 TB W 41-0 2 2 100.0% 5 5 11.0
    week 16 @DAL W 34-31 2 3 66.7% 4 4 9.0
    week 17 CAR L 38-44 1 1 100.0% 5 5 8.0
season 2011 NO 0 0 0 0.0% 0 0 0.0 0.0
season 2010 NO 14 20 25 80.0% 40 40 95.0 6.8
season 2009 NO 5 9 11 81.8% 10 11 34.0 6.8
season 2008 NO 8 13 13 100.0% 28 28 67.0 8.4
