season 2014 (Projected) NYJ - 33.8 - - 31.6 - 133.0 -
season 2015 (Projected) NYJ - 28 32 87.5% 34 34 114.0 -
season 2014 NYJ 15 32 39 82.1% 23 23 112.0 7.5
    week 1 OAK W 19-14 2 2 100.0% 1 1 7.0
    week 2 @GB L 24-31 1 1 100.0% 3 3 6.0
    week 3 CHI L 19-27 4 4 100.0% 1 1 13.0
    week 4 DET L 17-24 1 1 100.0% 2 2 5.0
    week 6 DEN L 17-31 1 1 100.0% 2 2 5.0
    week 7 @NE L 25-27 4 5 80.0% 1 1 12.0
    week 8 BUF L 23-43 1 1 100.0% 2 2 5.0
    week 9 @KC L 10-24 1 1 100.0% 1 1 4.0
    week 10 PIT W 20-13 2 3 66.7% 2 2 7.0
    week 12 @BUF L 3-38 1 1 100.0% 0 0 3.0
    week 13 MIA L 13-16 2 4 50.0% 1 1 5.0
    week 14 @MIN L 24-30 5 5 100.0% 1 1 16.0
    week 15 @TEN W 16-11 1 2 50.0% 1 1 3.0
    week 16 NE L 16-17 3 4 75.0% 1 1 9.0
    week 17 @MIA W 37-24 3 4 75.0% 4 4 12.0
season 2013 NYJ 16 33 36 91.7% 27 27 123.0 7.7
    week 1 TB W 18-17 3 3 100.0% 1 1 10.0
    week 2 @NE L 10-13 1 1 100.0% 1 1 4.0
    week 3 BUF W 27-20 2 2 100.0% 3 3 9.0
    week 4 @TEN L 13-38 2 2 100.0% 1 1 7.0
    week 5 @ATL W 30-28 3 3 100.0% 3 3 12.0
    week 6 PIT L 6-19 2 2 100.0% 0 0 6.0
    week 7 NE W 30-27 3 3 100.0% 3 3 12.0
    week 8 @CIN L 9-49 3 3 100.0% 0 0 9.0
    week 9 NO W 26-20 4 4 100.0% 2 2 14.0
    week 11 @BUF L 14-37 0 1 0.0% 2 2 1.0
    week 12 @BAL L 3-19 1 1 100.0% 0 0 3.0
    week 13 MIA L 3-23 1 1 100.0% 0 0 3.0
    week 14 OAK W 37-27 3 3 100.0% 4 4 13.0
    week 15 @CAR L 20-30 2 2 100.0% 2 2 8.0
    week 16 CLE W 24-13 1 2 50.0% 3 3 5.0
    week 17 @MIA W 20-7 2 3 66.7% 2 2 7.0
season 2012 NYJ 15 21 27 77.8% 30 30 87.0 5.8
    week 1 BUF W 48-28 2 2 100.0% 6 6 12.0
    week 2 @PIT L 10-27 1 1 100.0% 1 1 4.0
    week 3 @MIA W 23-20 3 3 100.0% 2 2 11.0
    week 5 HOU L 17-23 1 1 100.0% 2 2 5.0
    week 6 IND W 35-9 0 0 0.0% 5 5 5.0
    week 7 @NE L 26-29 4 4 100.0% 2 2 14.0
    week 8 MIA L 9-30 1 2 50.0% 0 0 2.0
    week 10 @SEA L 7-28 0 0 0.0% 1 1 1.0
    week 11 @STL W 27-13 2 4 50.0% 3 3 7.0
    week 12 NE L 19-49 1 1 100.0% 2 2 5.0
    week 13 ARI W 7-6 0 2 0.0% 1 1 -1.0
    week 14 @JAC W 17-10 1 1 100.0% 2 2 5.0
    week 15 @TEN L 10-14 1 1 100.0% 1 1 4.0
    week 16 SD L 17-27 1 1 100.0% 2 2 5.0
    week 17 @BUF L 9-28 3 4 75.0% 0 0 8.0
season 2011 NYJ 16 19 25 76.0% 44 44 95.0 5.9
season 2010 NYJ 16 30 39 76.9% 37 37 118.0 7.4
season 2009 DAL 14 18 28 64.3% 36 36 80.0 5.7
season 2008 DAL 15 18 20 90.0% 37 37 89.0 5.9
season 2007 DAL 16 26 31 83.9% 53 53 126.0 7.9
