season 2013 TEN 16 25 29 86.2% 41 41 112.0 7.0
    week 1 @PIT W 16-9 3 3 100.0% 1 1 10.0
    week 2 @HOU L 24-30 1 2 50.0% 3 3 5.0
    week 3 SD W 20-17 2 3 66.7% 2 2 7.0
    week 4 NYJ W 38-13 1 1 100.0% 5 5 8.0
    week 5 KC L 17-26 1 2 50.0% 2 2 4.0
    week 6 @SEA L 13-20 2 2 100.0% 1 1 7.0
    week 7 SF L 17-31 1 1 100.0% 2 2 5.0
    week 9 @STL W 28-21 0 0 0.0% 4 4 4.0
    week 10 JAC L 27-29 2 2 100.0% 3 3 9.0
    week 11 IND L 27-30 2 2 100.0% 3 3 9.0
    week 12 @OAK W 23-19 3 3 100.0% 2 2 11.0
    week 13 @IND L 14-22 0 0 0.0% 2 2 2.0
    week 14 @DEN L 28-51 0 0 0.0% 4 4 4.0
    week 15 ARI L 34-37 2 3 66.7% 4 4 9.0
    week 16 @JAC W 20-16 2 2 100.0% 2 2 8.0
    week 17 HOU W 16-10 3 3 100.0% 1 1 10.0
season 2012 TEN 16 25 31 80.6% 35 35 104.0 6.5
    week 1 NE L 13-34 2 2 100.0% 1 1 7.0
    week 2 @SD L 10-38 1 1 100.0% 1 1 4.0
    week 3 DET W 44-41 3 5 60.0% 5 5 12.0
    week 4 @HOU L 14-38 0 0 0.0% 2 2 2.0
    week 5 @MIN L 7-30 0 0 0.0% 1 1 1.0
    week 6 PIT W 26-23 4 4 100.0% 2 2 14.0
    week 7 @BUF W 35-34 0 0 0.0% 5 5 5.0
    week 8 IND L 13-19 2 3 66.7% 1 1 6.0
    week 9 CHI L 20-51 1 1 100.0% 1 1 4.0
    week 10 @MIA W 37-3 3 3 100.0% 4 4 13.0
    week 12 @JAC L 19-24 4 5 80.0% 1 1 12.0
    week 13 HOU L 10-24 1 1 100.0% 1 1 4.0
    week 14 @IND L 23-27 3 4 75.0% 2 2 10.0
    week 15 NYJ W 14-10 0 1 0.0% 2 2 1.0
    week 16 @GB L 7-55 0 0 0.0% 1 1 1.0
    week 17 JAC W 38-20 1 1 100.0% 5 5 8.0
season 2011 TEN 16 29 32 90.6% 34 34 118.0 7.4
season 2010 TEN 16 24 26 92.3% 38 38 108.0 6.8
season 2009 TEN 16 27 32 84.4% 37 37 113.0 7.1
season 2008 TEN 16 29 33 87.9% 40 40 123.0 7.7
season 2007 TEN 16 35 39 89.7% 28 28 129.0 8.1
season 2006 TEN 16 22 28 78.6% 32 32 92.0 5.8
