season 2015 (Projected) PHI - - 124 199 62.3 1456 10 8 23 64 2.8 0 88.6 -
season 2014 PHI 9  -  198 309 64.1 2418 14 11 34 87 2.6 1 145.4 16.2
    week 9 at HOU W 31-21 15 22 68.2 202 2 2 5 5 1.0 0 12.6
    week 10 CAR W 45-21 20 37 54.1 332 2 0 2 -1 -0.5 0 21.2
    week 11 at GB L 20-53 26 44 59.1 346 2 2 3 0 0.0 0 17.8
    week 12 TEN W 43-24 30 43 69.8 307 1 2 4 4 1.0 0 12.7
    week 13 at DAL W 33-10 20 29 69.0 217 1 0 7 28 4.0 1 21.5
    week 14 SEA L 14-24 10 20 50.0 96 2 1 1 7 7.0 0 10.5
    week 15 DAL L 27-38 17 28 60.7 252 0 2 0 0 - 0 6.1
    week 16 at WAS L 24-27 37 50 74.0 374 2 1 5 22 4.4 0 23.2
    week 17 at NYG W 34-26 23 36 63.9 292 2 1 7 22 3.1 0 19.9
season 2012 NYJ 15  -  246 453 54.3 2883 13 18 22 28 1.3 0 134.1 8.9
    week 1 BUF W 48-28 19 27 70.4 266 3 1 0 0 - 0 20.6
    week 2 at PIT L 10-27 10 27 37.0 138 1 0 0 0 - 0 9.5
    week 3 at MIA W 23-20 21 45 46.7 306 1 2 1 4 4.0 0 12.6
    week 4 SF L 0-34 13 29 44.8 103 0 1 0 0 - 0 2.1
    week 5 HOU L 17-23 14 31 45.2 230 1 2 2 1 0.5 0 9.3
    week 6 IND W 35-9 11 18 61.1 82 2 0 1 -1 -1.0 0 11.2
    week 7 at NE L 26-29 28 41 68.3 328 1 1 1 0 0.0 0 15.1
    week 8 MIA L 9-30 28 54 51.9 283 1 1 1 6 6.0 0 13.9
    week 10 at SEA L 7-28 9 22 40.9 124 0 1 0 0 - 0 3.0
    week 11 at STL W 27-13 15 20 75.0 178 1 0 4 -2 -0.5 0 10.9
    week 12 NE L 19-49 26 36 72.2 301 1 1 2 2 1.0 0 14.2
    week 13 ARI W 7-6 10 21 47.6 97 0 3 1 2 2.0 0 -1.9
    week 14 at JAC W 17-10 12 19 63.2 111 0 0 3 11 3.7 0 5.5
    week 15 at TEN L 10-14 13 28 46.4 131 1 4 4 6 1.5 0 1.8
    week 17 at BUF L 9-28 17 35 48.6 205 0 1 2 -1 -0.5 0 6.1
season 2011 NYJ 16 16 308 542 56.8 3474 26 18 37 103 2.8 6 253.3 15.8
season 2010 NYJ 16 16 278 507 54.8 3278 17 13 30 105 3.5 3 201.6 12.6
season 2009 NYJ 15 15 196 363 54.0 2444 12 20 36 106 2.9 3 134.4 9.0
