season 2015 (Projected) IND - - 13 21 61.9 144 0 0 0 0 - 0 5.8 -
season 2014 IND 4  -  30 44 68.2 301 2 0 8 -11 -1.4 0 18.9 4.7
    week 3 at JAC W 44-17 2 4 50.0 20 0 0 1 -1 -1.0 0 0.7
    week 4 TEN W 41-17 0 0 - 0 0 0 3 -2 -0.7 0 -0.2
    week 16 at DAL L 7-42 15 21 71.4 126 1 0 0 0 - 0 9.0
    week 17 at TEN W 27-10 13 19 68.4 155 1 0 4 -8 -2.0 0 9.4
season 2013 IND 3  -  7 12 58.3 130 0 1 2 -2 -1.0 0 3.0 1.0
    week 4 at JAC W 37-3 2 3 66.7 37 0 0 0 0 - 0 1.5
    week 10 STL L 8-38 2 5 40.0 68 0 1 1 -1 -1.0 0 0.6
    week 17 JAC W 30-10 3 4 75.0 25 0 0 1 -1 -1.0 0 0.9
season 2012 TEN 8  -  138 221 62.4 1367 7 5 13 38 2.9 0 76.5 9.6
    week 1 NE L 13-34 6 11 54.5 43 0 0 0 0 - 0 1.7
    week 4 at HOU L 14-38 17 25 68.0 193 2 2 2 3 1.5 0 12.0
    week 5 at MIN L 7-30 26 43 60.5 200 1 1 2 10 5.0 0 11.0
    week 6 PIT W 26-23 25 44 56.8 290 1 1 1 2 2.0 0 13.8
    week 7 at BUF W 35-34 22 33 66.7 205 1 0 1 -2 -2.0 0 12.0
    week 8 IND L 13-19 22 29 75.9 236 1 0 2 10 5.0 0 14.4
    week 9 CHI L 20-51 20 35 57.1 194 1 1 2 18 9.0 0 11.6
    week 10 at MIA W 37-3 0 1 0.0 0 0 0 3 -3 -1.0 0 -0.3
season 2011 TEN 16 16 319 518 61.6 3571 18 14 20 52 2.6 0 192.0 12.0
season 2010 SEA 14 14 266 444 59.9 2998 12 17 23 60 2.6 3 157.9 11.3
season 2009 SEA 14 14 293 488 60.0 3029 17 17 26 119 4.6 0 167.1 11.9
season 2008 SEA 7 7 109 209 52.2 1216 5 10 11 69 6.3 0 55.5 7.9
season 2007 SEA 16 15 352 562 62.6 3966 28 12 39 97 2.5 0 256.3 16.0
season 2006 SEA 12 12 210 371 56.6 2442 18 15 18 110 6.1 0 150.7 12.6
season 2005 SEA 16 16 294 450 65.3 3455 24 10 36 124 3.4 1 232.6 14.5
season 2004 SEA 14 14 279 474 58.9 3382 22 15 27 96 3.6 1 208.9 14.9
season 2003 SEA 16 16 313 513 61.0 3841 26 15 36 125 3.5 2 252.1 15.8
season 2002 SEA 16 10 267 419 63.7 3075 15 10 40 202 5.1 1 189.2 11.8
season 2001 SEA 13 12 176 321 54.8 2023 7 8 39 149 3.8 0 107.8 8.3
season 2000 GB 16 0 10 19 52.6 104 1 0 6 -7 -1.2 0 7.5 0.5
