season 2015 (Projected) MIA - - 3 5 60.0 35 0 0 0 0 - 0 1.4 -
season 2014 MIA 2  -  2 4 50.0 21 0 0 2 -2 -1.0 0 0.6 0.3
    week 4 at OAK W 38-14 0 0 - 0 0 0 2 -2 -1.0 0 -0.2
    week 9 SD W 37-0 2 4 50.0 21 0 0 0 0 - 0 0.8
season 2013 MIA 1  -  2 6 33.3 53 0 2 0 0 - 0 -1.9 -1.9
    week 16 at BUF L 0-19 2 6 33.3 53 0 2 0 0 - 0 -1.9
season 2012 MIA 2  -  11 19 57.9 131 1 0 5 -3 -0.6 0 8.9 4.5
    week 8 at NYJ W 30-9 11 19 57.9 131 1 0 4 -4 -1.0 0 8.8
    week 10 TEN L 3-37 0 0 - 0 0 0 1 1 1.0 0 0.1
season 2011 MIA 13 12 210 347 60.5 2497 16 9 32 65 2.0 2 164.4 12.6
season 2010 CAR 6 5 79 143 55.2 857 5 10 5 25 5.0 0 36.8 6.1
season 2009 CAR 8 5 85 138 61.6 1053 8 2 12 -3 -0.3 0 69.8 8.7
season 2008 CAR 0 0 0 0 - 0 0 0 0 0 - 0 0.0 0.0
season 2007 CAR 10 3 63 111 56.8 730 3 5 3 5 1.7 0 31.7 3.2
