season 2014 ARI 3  -  45 93 48.4 562 2 4 0 0 - 0 22.5 7.5
    week 15 at STL W 12-6 4 10 40.0 30 0 0 0 0 - 0 1.2
    week 16 SEA L 6-35 18 44 40.9 216 0 1 0 0 - 0 6.6
    week 17 at SF L 17-20 23 39 59.0 316 2 3 0 0 - 0 14.6
    week WC at CAR L 16-27 16 28 57.1 82 1 2 0 0 - 0 3.3
season 2012 ARI 6  -  89 171 52.0 752 0 7 4 7 1.8 0 16.8 2.8
    week 11 at ATL L 19-23 9 20 45.0 64 0 0 0 0 - 0 2.6
    week 12 STL L 17-31 31 52 59.6 312 0 4 1 1 1.0 0 4.6
    week 13 at NYJ L 6-7 10 31 32.3 72 0 1 0 0 - 0 0.9
    week 14 at SEA L 0-58 8 17 47.1 59 0 0 1 -2 -2.0 0 2.2
    week 15 DET W 38-10 14 21 66.7 104 0 1 2 8 4.0 0 3.0
    week 16 CHI L 13-28 17 30 56.7 141 0 1 0 0 - 0 3.6
