season 2015 (Projected) DAL - - 342 526 65.0 3894 32 12 21 45 2.1 0 264.3 -
season 2014 DAL 15  -  304 435 69.9 3705 34 9 25 61 2.4 0 272.3 18.2
    week 1 SF L 17-28 23 37 62.2 281 1 3 0 0 - 0 9.2
    week 2 at TEN W 26-10 19 29 65.5 176 1 0 0 0 - 0 11.0
    week 3 at STL W 34-31 18 23 78.3 217 2 1 3 14 4.7 0 16.1
    week 4 NO W 38-17 22 29 75.9 262 3 0 6 20 3.3 0 24.5
    week 5 HOU W 20-17 28 41 68.3 324 2 1 0 0 - 0 19.0
    week 6 at SEA W 30-23 21 32 65.6 250 2 0 2 -1 -0.5 0 17.9
    week 7 NYG W 31-21 17 23 73.9 279 3 1 2 5 2.5 0 21.7
    week 8 WAS L 17-20 17 28 60.7 209 1 0 1 1 1.0 0 12.5
    week 10 at JAC W 31-17 20 27 74.1 246 3 0 0 0 - 0 21.8
    week 12 at NYG W 31-28 18 26 69.2 275 4 0 1 -2 -2.0 0 26.8
    week 13 PHI L 10-33 18 29 62.1 199 0 2 1 -1 -1.0 0 3.9
    week 14 at CHI W 41-28 21 26 80.8 205 3 0 2 -2 -1.0 0 20.0
    week 15 at PHI W 38-27 22 31 71.0 265 3 0 4 -1 -0.3 0 22.5
    week 16 IND W 42-7 18 20 90.0 218 4 0 3 28 9.3 0 27.5
    week 17 at WAS W 44-17 22 34 64.7 299 2 1 0 0 - 0 18.0
    week WC DET W 24-20 19 31 61.3 293 2 0 2 -2 -1.0 0 19.5
    week DP at GB L 21-26 15 19 78.9 191 2 0 1 7 7.0 0 16.3
season 2013 DAL 15  -  342 535 63.9 3842 31 10 20 38 1.9 0 261.5 17.4
    week 1 NYG W 36-31 36 49 73.5 263 2 1 2 -1 -0.5 0 16.4
    week 2 at KC L 16-17 30 42 71.4 298 1 0 2 3 1.5 0 16.2
    week 3 STL W 31-7 17 24 70.8 210 3 0 0 0 - 0 20.4
    week 4 at SD L 21-30 27 37 73.0 244 2 0 1 15 15.0 0 19.3
    week 5 DEN L 48-51 25 36 69.4 506 5 1 1 7 7.0 0 38.9
    week 6 WAS W 31-16 18 30 60.0 170 1 1 0 0 - 0 8.8
    week 7 at PHI W 17-3 28 47 59.6 317 1 2 4 2 0.5 0 12.9
    week 8 at DET L 30-31 14 30 46.7 206 3 0 3 6 2.0 0 20.8
    week 9 MIN W 27-23 34 51 66.7 337 2 1 1 8 8.0 0 20.3
    week 10 at NO L 17-49 10 24 41.7 128 1 0 0 0 - 0 9.1
    week 12 at NYG W 24-21 23 38 60.5 250 2 1 3 1 0.3 0 16.1
    week 13 OAK W 31-24 23 32 71.9 225 1 0 1 -1 -1.0 0 12.9
    week 14 at CHI L 28-45 11 20 55.0 104 3 0 1 -1 -1.0 0 16.1
    week 15 GB L 36-37 29 48 60.4 358 2 2 0 0 - 0 18.3
    week 16 at WAS W 24-23 17 27 63.0 226 2 1 1 -1 -1.0 0 14.9
season 2012 DAL 16  -  425 648 65.6 4903 28 19 30 49 1.6 1 281.0 17.6
    week 1 at NYG W 24-17 22 29 75.9 307 3 1 5 12 2.4 0 23.5
    week 2 at SEA L 7-27 23 40 57.5 251 1 1 2 -1 -0.5 0 11.9
    week 3 TB W 16-10 25 39 64.1 283 0 1 4 1 0.3 0 9.4
    week 4 CHI L 18-34 31 43 72.1 307 1 5 1 0 0.0 0 6.3
    week 6 at BAL L 29-31 25 36 69.4 261 2 1 0 0 - 0 16.4
    week 7 at CAR W 19-14 24 34 70.6 227 1 0 3 11 3.7 0 14.2
    week 8 NYG L 24-29 36 62 58.1 437 1 4 2 0 0.0 1 19.5
    week 9 at ATL L 13-19 25 35 71.4 321 1 0 0 0 - 0 16.8
    week 10 at PHI W 38-23 19 26 73.1 209 2 0 1 -1 -1.0 0 16.3
    week 11 CLE W 23-20 35 50 70.0 313 1 0 2 10 5.0 0 17.5
    week 12 WAS L 31-38 37 62 59.7 441 3 2 3 7 2.3 0 26.3
    week 13 PHI W 38-33 22 27 81.5 303 3 0 3 14 4.7 0 25.5
    week 14 at CIN W 20-19 25 43 58.1 268 1 1 0 0 - 0 12.7
    week 15 PIT W 27-24 30 42 71.4 341 2 0 4 -4 -1.0 0 21.2
    week 16 NO L 31-34 26 43 60.5 416 4 0 0 0 - 0 32.6
    week 17 at WAS L 18-28 20 37 54.1 218 2 3 0 0 - 0 10.7
season 2011 DAL 16 16 346 522 66.3 4184 31 10 22 46 2.1 1 282.0 17.6
season 2010 DAL 6 6 148 213 69.5 1605 11 7 6 38 6.3 0 98.0 16.3
season 2009 DAL 16 16 347 550 63.1 4483 26 9 35 105 3.0 1 281.8 17.6
season 2008 DAL 13 13 276 451 61.2 3448 26 14 28 41 1.5 0 218.0 16.8
season 2007 DAL 16 16 335 520 64.4 4211 36 19 28 132 4.7 2 299.6 18.7
season 2006 DAL 16 10 220 337 65.3 2903 19 13 34 102 3.0 0 176.3 11.0
season 2005 DAL 16 0 0 0 - 0 0 0 2 -2 -1.0 0 -0.2 -0.0
season 2004 DAL 6 0 0 0 - 0 0 0 0 0 - 0 0.0 0.0
season 2003 DAL 0 0 0 0 - 0 0 0 0 0 - 0 0.0 0.0
