season 2013 NYG 7  -  58 238 4.1 4 7 2 13 6.5 0 48.1 6.9
    week 2 DEN L 23-41 7 4 0.6 1 1 0 0 - 0 6.4
    week 3 at CAR L 0-38 3 2 0.7 0 0 0 0 - 0 0.2
    week 4 at KC L 7-31 1 5 5.0 0 1 1 5 5.0 0 1.5
    week 5 PHI L 21-36 11 37 3.4 0 3 0 0 - 0 1.7
    week 6 at CHI L 21-27 22 106 4.8 2 2 1 8 8.0 0 23.9
    week 11 GB W 27-13 5 9 1.8 1 0 0 0 - 0 6.9
    week 12 DAL L 21-24 9 75 8.3 0 0 0 0 - 0 7.5
season 2012 SF 2  -  5 7 1.4 0 0 0 0 - 0 0.7 0.4
    week 12 at NO W 31-21 1 1 1.0 0 0 0 0 - 0 0.1
    week 13 at STL L 13-16 4 6 1.5 0 0 0 0 - 0 0.6
season 2011 NYG 14 6 152 571 3.8 7 23 15 128 8.5 1 125.4 9.0
season 2010 NYG 16 5 147 823 5.6 9 13 7 59 8.4 0 141.7 8.9
season 2009 NYG 15 14 224 835 3.7 5 31 18 184 10.2 1 144.9 9.7
season 2008 NYG 13 13 219 1089 5.0 15 12 6 36 6.0 0 203.5 15.7
season 2007 NYG 11 9 200 1011 5.1 4 38 23 174 7.6 2 158.0 14.4
season 2006 NYG 15 0 96 423 4.4 9 14 11 149 13.5 0 114.7 7.6
season 2005 NYG 16 0 38 99 2.6 7 0 0 0 - 0 49.9 3.1
