season 2012 GB 5  -  71 248 3.5 1 15 14 97 6.9 0 47.5 9.5
    week 1 SF L 22-30 9 18 2.0 0 0 0 0 - 0 1.8
    week 2 CHI W 23-10 20 81 4.1 0 4 4 35 8.8 0 13.6
    week 3 @SEA L 12-14 17 45 2.6 1 5 4 19 4.8 0 14.4
    week 4 NO W 28-27 18 84 4.7 0 4 4 22 5.5 0 12.6
    week 5 @IND L 27-30 7 20 2.9 0 2 2 21 10.5 0 5.1
season 2011 CIN 15 15 273 1067 3.9 6 22 15 82 5.5 0 154.4 10.3
season 2010 CIN 16 16 321 1111 3.5 7 37 28 178 6.4 1 180.9 11.3
season 2009 CIN 13 13 301 1251 4.2 6 24 17 111 6.5 0 180.7 13.9
season 2008 CIN 12 10 214 747 3.5 2 26 20 185 9.3 0 113.2 9.4
season 2007 CHI 11 11 197 678 3.4 4 27 17 123 7.2 0 108.6 9.9
season 2006 CHI 15 0 157 647 4.1 6 10 8 54 6.8 0 110.1 7.3
season 2005 CHI 9 1 67 272 4.1 0 1 1 3 3.0 0 26.0 2.9
