season 2013 DAL 5  -  9 12 1.3 1 4 3 33 11.0 0 12.0 2.4
    week 1 NYG W 36-31 1 2 2.0 0 1 1 9 9.0 0 1.6
    week 3 STL W 31-7 3 -1 -0.3 0 0 0 0 - 0 -0.1
    week 6 WAS W 31-16 1 2 2.0 0 0 0 0 - 0 0.2
    week 7 at PHI W 17-3 2 1 0.5 1 2 1 7 7.0 0 7.3
    week 8 at DET L 30-31 2 8 4.0 0 1 1 17 17.0 0 3.0
season 2012 DAL 5  -  25 61 2.4 0 5 4 41 10.3 0 12.2 2.4
    week 1 at NYG W 24-17 0 0 - 0 0 0 0 - 0 0.0
    week 4 CHI L 18-34 0 0 - 0 3 2 20 10.0 0 3.0
    week 6 at BAL L 29-31 9 31 3.4 0 0 0 0 - 0 3.1
    week 7 at CAR W 19-14 13 30 2.3 0 1 1 8 8.0 0 4.3
    week 8 NYG L 24-29 2 0 0.0 0 1 1 13 13.0 0 1.8
    week 9 at ATL L 13-19 1 0 0.0 0 0 0 0 - 0 0.0
season 2011 DAL 9 0 22 76 3.5 1 2 2 19 9.5 0 16.5 1.8
