season 2014 NO 11  -  45 222 4.9 2 55 45 378 8.4 1 100.5 9.1
    week 1 at ATL L 34-37 7 31 4.4 0 7 6 58 9.7 0 11.9
    week 2 at CLE L 24-26 3 16 5.3 0 3 3 16 5.3 0 4.7
    week 3 MIN W 20-9 8 30 3.8 1 3 3 21 7.0 0 12.6
    week 4 at DAL L 17-38 2 8 4.0 0 2 2 15 7.5 0 3.3
    week 5 TB W 37-31 4 35 8.8 1 10 8 77 9.6 1 27.2
    week 7 at DET L 23-24 6 13 2.2 0 4 4 17 4.3 0 5.0
    week 12 BAL L 27-34 5 19 3.8 0 8 6 37 6.2 0 8.6
    week 13 at PIT W 35-32 3 21 7.0 0 4 2 16 8.0 0 4.7
    week 14 CAR L 10-41 5 38 7.6 0 6 4 14 3.5 0 7.2
    week 15 at CHI W 31-15 2 11 5.5 0 5 5 83 16.6 0 11.9
    week 16 ATL L 14-30 0 0 - 0 3 2 24 12.0 0 3.4
season 2013 NO 16  -  147 549 3.7 2 84 77 513 6.7 3 174.7 10.9
    week 1 ATL W 23-17 9 43 4.8 0 4 4 16 4.0 0 7.9
    week 2 at TB W 16-14 5 29 5.8 0 5 4 19 4.8 0 6.8
    week 3 ARI W 31-7 11 28 2.5 0 6 6 39 6.5 0 9.7
    week 4 MIA W 38-17 4 1 0.3 0 6 5 37 7.4 0 6.3
    week 5 at CHI W 26-18 19 36 1.9 0 9 9 55 6.1 2 25.6
    week 6 at NE L 27-30 11 51 4.6 0 1 1 29 29.0 0 8.5
    week 8 BUF W 35-17 14 65 4.6 0 3 3 29 9.7 0 10.9
    week 9 at NYJ L 20-26 6 24 4.0 0 10 7 66 9.4 0 12.5
    week 10 DAL W 49-17 17 87 5.1 1 7 7 24 3.4 1 26.6
    week 11 SF W 23-20 11 49 4.5 0 5 5 35 7.0 0 10.9
    week 12 at ATL W 17-13 10 73 7.3 0 6 5 57 11.4 0 15.5
    week 13 at SEA L 7-34 4 0 0.0 0 4 4 21 5.3 0 4.1
    week 14 CAR W 31-13 7 14 2.0 0 4 4 14 3.5 0 4.8
    week 15 at STL L 16-27 8 21 2.6 0 8 7 62 8.9 0 11.8
    week 16 at CAR L 13-17 4 8 2.0 0 5 5 7 1.4 0 4.0
    week 17 TB W 42-17 7 20 2.9 1 1 1 3 3.0 0 8.8
season 2012 NO 15  -  105 473 4.5 1 53 39 354 9.1 1 114.2 7.6
    week 1 WAS L 32-40 4 17 4.3 0 1 1 12 12.0 0 3.4
    week 2 at CAR L 27-35 9 110 12.2 0 6 4 33 8.3 0 16.3
    week 3 KC L 24-27 6 11 1.8 0 6 4 55 13.8 0 8.6
    week 4 at GB L 27-28 9 14 1.6 0 3 2 -1 -0.5 0 2.3
    week 5 SD W 31-24 9 30 3.3 0 2 2 40 20.0 0 8.0
    week 7 at TB W 35-28 13 32 2.5 1 1 0 0 - 0 9.2
    week 8 at DEN L 14-34 8 43 5.4 0 2 2 6 3.0 0 5.9
    week 9 PHI W 28-13 6 44 7.3 0 3 2 26 13.0 0 8.0
    week 10 ATL W 31-27 5 10 2.0 0 2 1 6 6.0 0 2.1
    week 11 at OAK W 38-17 5 30 6.0 0 4 3 28 9.3 0 7.3
    week 12 SF L 21-31 1 0 0.0 0 1 0 0 - 0 0.0
    week 13 at ATL L 13-23 14 84 6.0 0 1 1 5 5.0 0 9.4
    week 14 at NYG L 27-52 5 19 3.8 0 8 7 57 8.1 0 11.1
    week 15 TB W 41-0 4 13 3.3 0 4 3 26 8.7 0 5.4
    week 16 at DAL W 34-31 7 16 2.3 0 9 7 61 8.7 1 17.2
season 2011 NO 16 7 110 562 5.1 5 59 50 425 8.5 1 157.7 9.9
season 2010 NO 6 3 83 269 3.2 2 29 29 201 6.9 0 73.5 12.3
season 2009 NO 14 5 147 793 5.4 6 45 39 302 7.7 2 175.0 12.5
season 2008 NO 15 5 129 625 4.8 9 36 31 284 9.2 3 176.4 11.8
season 2007 NO 11 1 49 248 5.1 1 23 19 152 8.0 1 61.5 5.6
