season 2014 (Projected) IND - - - - 545.5 - 4.8 83.1 5.9
season 2015 (Projected) IND - - - 48 566 11.8 6 116.6 -
season 2014 IND 12  -  50 29 395 13.6 8 102.0 8.5
    week 1 @DEN L 24-31 5 4 64 16.0 1 14.4
    week 2 PHI L 27-30 1 0 0 - 0 0.0
    week 3 @JAC W 44-17 6 4 43 10.8 1 12.3
    week 4 TEN W 41-17 3 3 38 12.7 1 11.3
    week 5 BAL W 20-13 5 4 59 14.8 1 13.9
    week 6 @HOU W 33-28 7 3 49 16.3 0 6.4
    week 7 CIN W 27-0 6 3 52 17.3 1 12.7
    week 8 @PIT L 34-51 2 1 21 21.0 1 8.6
    week 9 @NYG W 40-24 5 4 48 12.0 1 12.8
    week 14 @CLE W 25-24 3 1 5 5.0 0 1.0
    week 15 HOU W 17-10 4 2 16 8.0 1 8.6
    week 16 @DAL L 7-42 3 0 0 - 0 0.0
    week WC CIN W 26-10 3 3 30 10.0 0 4.5
    week DP @DEN W 24-13 4 4 30 7.5 1 11.0
    week CC @NE L 7-45 6 4 30 7.5 0 5.0
season 2013 IND 1  -  2 1 20 20.0 1 8.5 8.5
    week 1 OAK W 21-17 2 1 20 20.0 1 8.5
season 2012 IND 15  -  66 45 521 11.6 3 93.1 6.2
    week 2 MIN W 23-20 1 1 3 3.0 1 6.8
    week 3 JAC L 17-22 6 5 35 7.0 0 6.0
    week 5 GB W 30-27 5 4 38 9.5 1 11.8
    week 6 @NYJ L 9-35 4 2 33 16.5 0 4.3
    week 7 CLE W 17-13 2 1 9 9.0 0 1.4
    week 8 @TEN W 19-13 5 4 56 14.0 0 7.6
    week 9 MIA W 23-20 7 6 75 12.5 0 10.5
    week 10 @JAC W 27-10 2 2 31 15.5 0 4.1
    week 11 @NE L 24-59 11 6 69 11.5 0 9.9
    week 12 BUF W 20-13 6 3 36 12.0 0 5.1
    week 13 @DET W 35-33 5 2 50 25.0 0 6.0
    week 14 TEN W 27-23 3 1 11 11.0 0 1.6
    week 15 @HOU L 17-29 3 3 36 12.0 1 11.4
    week 16 @KC W 20-13 3 3 18 6.0 0 3.3
    week 17 HOU W 28-16 3 2 21 10.5 0 3.3
    week WC @BAL L 9-24 6 4 51 12.8 0 7.1
