season 2014 TB 5  -  11 7 41 5.9 0 7.6 1.5
    week 1 CAR L 14-20 1 1 8 8.0 0 1.3
    week 3 at ATL L 14-56 2 2 15 7.5 0 2.5
    week 12 at CHI L 13-21 2 1 6 6.0 0 1.1
    week 14 at DET L 17-34 3 1 4 4.0 0 0.9
    week 16 GB L 3-20 3 2 8 4.0 0 1.8
season 2012 TB 12  -  27 16 165 10.3 1 30.5 2.5
    week 3 at DAL L 10-16 3 1 1 1.0 1 6.6
    week 4 WAS L 22-24 2 1 5 5.0 0 1.0
    week 7 NO L 28-35 1 1 33 33.0 0 3.8
    week 9 at OAK W 42-32 2 1 2 2.0 0 0.7
    week 10 SD W 34-24 1 1 11 11.0 0 1.6
    week 11 at CAR W 27-21 2 0 0 - 0 0.0
    week 12 ATL L 23-24 2 1 5 5.0 0 1.0
    week 13 at DEN L 23-31 2 2 19 9.5 0 2.9
    week 14 PHI L 21-23 2 0 0 - 0 0.0
    week 15 at NO L 0-41 3 3 23 7.7 0 3.8
    week 16 STL L 13-28 2 2 16 8.0 0 2.6
    week 17 at ATL W 22-17 5 3 50 16.7 0 6.5
season 2011 TB 14 9 17 12 92 7.7 0 15.2 1.1
