season 2014 TEN 3  -  4 2 24 12.0 0 3.4 1.1
    week 1 at KC W 26-10 2 2 24 12.0 0 3.4
    week 2 DAL L 10-26 1 0 0 - 0 0.0
    week 3 at CIN L 7-33 1 0 0 - 0 0.0
season 2013 TEN 4  -  7 3 13 4.3 1 8.8 2.2
    week 10 JAC L 27-29 1 1 9 9.0 1 7.4
    week 12 at OAK W 23-19 2 2 4 2.0 0 1.4
    week 13 at IND L 14-22 3 0 0 - 0 0.0
    week 14 at DEN L 28-51 1 0 0 - 0 0.0
season 2012 TEN 9  -  13 6 46 7.7 0 7.6 0.8
    week 2 at SD L 10-38 1 0 0 - 0 0.0
    week 4 at HOU L 14-38 1 0 0 - 0 0.0
    week 5 at MIN L 7-30 2 1 7 7.0 0 1.2
    week 6 PIT W 26-23 1 1 5 5.0 0 1.0
    week 7 at BUF W 35-34 1 0 0 - 0 0.0
    week 9 CHI L 20-51 1 1 7 7.0 0 1.2
    week 13 HOU L 10-24 1 0 0 - 0 0.0
    week 16 at GB L 7-55 2 1 8 8.0 0 1.3
    week 17 JAC W 38-20 3 2 19 9.5 0 2.9
