season 2013 NYJ 1  -  1 1 8 8.0 0 0 0 - 0 1.3 1.3
    week 4 at TEN L 13-38 1 1 8 8.0 0 0 0 - 0 1.3
season 2012 SEA 5  -  9 4 58 14.5 0 1 11 11.0 0 8.9 1.8
    week 1 at ARI L 16-20 1 0 0 - 0 0 0 - 0 0.0
    week 3 GB W 14-12 3 1 8 8.0 0 0 0 - 0 1.3
    week 5 at CAR W 16-12 0 0 0 - 0 1 11 11.0 0 1.1
    week 6 NE W 24-23 1 0 0 - 0 0 0 - 0 0.0
    week 7 at SF L 6-13 4 3 50 16.7 0 0 0 - 0 6.5
season 2011 SEA 16 8 61 37 436 11.8 2 1 13 13.0 0 75.4 4.7
season 2010 SEA 15 6 49 30 494 16.5 4 2 17 8.5 0 90.1 6.0
season 2009 SEA 14 0 5 4 41 10.3 0 0 0 - 0 4.1 0.3
season 2007 SEA 14 0 29 12 180 15.0 1 0 0 - 0 30.0 2.1
