season 2015 (Projected) CHI - - - 18 285 15.8 1 0 0 - 0 43.5 -
season 2014 CHI 7  -  32 17 140 8.2 1 0 0 - 0 28.5 4.1
    week 11 MIN W 21-13 4 2 11 5.5 0 0 0 - 0 2.1
    week 12 TB W 21-13 3 1 10 10.0 0 0 0 - 0 1.5
    week 13 @DET L 17-34 2 0 0 - 0 0 0 - 0 0.0
    week 14 DAL L 28-41 5 2 19 9.5 0 0 0 - 0 2.9
    week 15 NO L 15-31 5 3 16 5.3 1 0 0 - 0 9.1
    week 16 DET L 14-20 10 7 66 9.4 0 0 0 - 0 10.1
    week 17 @MIN L 9-13 3 2 18 9.0 0 0 0 - 0 2.8
season 2013 CHI 3  -  3 2 13 6.5 0 0 0 - 0 2.3 0.8
    week 7 @WAS L 41-45 1 1 3 3.0 0 0 0 - 0 0.8
    week 9 @GB W 27-20 1 0 0 - 0 0 0 - 0 0.0
    week 17 GB L 28-33 1 1 10 10.0 0 0 0 - 0 1.5
