season 2012 BUF 4  -  6 4 41 10.3 0 0 0 - 0 6.1 1.5
    week 9 @HOU L 9-21 1 0 0 - 0 0 0 - 0 0.0
    week 15 SEA L 17-50 2 1 8 8.0 0 0 0 - 0 1.3
    week 16 @MIA L 10-24 2 2 22 11.0 0 0 0 - 0 3.2
    week 17 NYJ W 28-9 1 1 11 11.0 0 0 0 - 0 1.6
season 2011 BUF 14 0 16 7 82 11.7 0 0 0 - 0 11.7 0.8
season 2010 SEA 4 0 9 7 158 22.6 1 0 0 - 0 25.3 6.3
season 2009 STL 8 0 12 6 99 16.5 0 0 0 - 0 12.9 1.6
season 2008 GB 13 1 22 15 149 9.9 1 0 0 - 0 28.4 2.2
season 2007 GB 15 5 28 16 242 15.1 4 0 0 - 0 56.2 3.7
season 2006 GB 13 3 42 21 358 17.0 1 0 0 - 0 52.3 4.0
