season 2012 DET 10  -  56 33 383 11.6 4 2 16 8.0 0 80.4 8.0
    week 1 STL W 27-23 3 1 14 14.0 0 1 11 11.0 0 3.0
    week 2 @SF L 19-27 3 1 11 11.0 0 0 0 - 0 1.6
    week 3 @TEN L 41-44 7 6 75 12.5 1 0 0 - 0 16.5
    week 4 MIN L 13-20 3 1 17 17.0 0 1 5 5.0 0 2.7
    week 6 @PHI W 26-23 5 2 6 3.0 0 0 0 - 0 1.6
    week 7 @CHI L 7-13 8 6 81 13.5 0 0 0 - 0 11.1
    week 8 SEA W 28-24 9 9 100 11.1 2 0 0 - 0 26.5
    week 9 @JAC W 31-14 5 2 20 10.0 0 0 0 - 0 3.0
    week 10 @MIN L 24-34 7 4 35 8.8 1 0 0 - 0 11.5
    week 11 GB L 20-24 6 1 24 24.0 0 0 0 - 0 2.9
season 2011 DET 16 9 85 48 607 12.6 6 2 15 7.5 0 122.2 7.6
